4091972,2025/3/3,26,,
4091972,2025/1/15,36,,
4091972,2024/11/14,43,,
4091972,2024/9/11,70,,
4091972,2024/7/11,47,,
4091972,2024/5/21,0,,
2226970,2025/4/5,9,,
2226970,2025/2/15,10,,
2226970,2024/12/15,13,,
2226970,2024/10/15,12,,
2226970,2024/8/15,13,,
2226970,2024/6/15,16,,
4139756,2025/3/10,8,,
4139756,2025/2/6,19,,
4139756,2024/11/15,15,,
4139756,2024/9/15,15,,
4139756,2024/7/15,12,,
4139756,2024/5/15,12,,
4139756,2024/3/15,12,,
2284662,2025/4/8,15,,
2284662,2025/2/8,7,,
2284662,2024/12/8,7,,
2284662,2024/10/8,6,,
2284662,2024/8/8,6,,
2284662,2024/6/8,7,,
4148081,2025/3/16,0,,
4148081,2025/2/11,1,,
4148081,2024/12/18,3,,
4148081,2024/10/4,1,,
4148081,2024/8/1,2,,
4148081,2024/6/1,1,,
4167112,2025/3/11,2,,
4167112,2025/2/6,5,,
4167112,2024/11/15,6,,
4167112,2024/9/15,4,,
4167112,2024/7/15,4,,
4167112,2024/5/15,4,,
