account_id,reading_time,current_reading,current_usage,average_usage,daily_average,daily_max,daily_min,,,,,,,,,,,,,,
4091972,2025/3/27,74.99,1.56,1.1,1.56,1.56,1.56,,,,,,,,,,,,,,
4091972,2025/3/28,76.03,1.04,1,1.04,1.04,1.04,,,,,,,,,,,,,,
4091972,2025/3/29,76.81,0.78,0.9,0.78,0.78,0.78,,,,,,,,,,,,,,
4091972,2025/3/30,77.42,0.61,1,0.61,0.61,0.61,,,,,,,,,,,,,,
4091972,2025/3/31,77.9,0.48,1,0.48,0.48,0.48,,,,,,,,,,,,,,
4091972,2025/4/1,78.26,0.36,1.1,0.36,0.36,0.36,,,,,,,,,,,,,,
4091972,2025/4/2,79.56,1.3,1.1,1.3,1.3,1.3,,,,,,,,,,,,,,
4091972,2025/4/3,80.71,1.15,1.1,1.15,1.15,1.15,,,,,,,,,,,,,,
4091972,2025/4/4,82,1.29,1.4,1.29,1.29,1.29,,,,,,,,,,,,,,
4091972,2025/4/5,82.8,0.8,1.4,0.8,0.8,0.8,,,,,,,,,,,,,,
4091972,2025/4/6,83.49,0.69,1.4,0.69,0.69,0.69,,,,,,,,,,,,,,
4091972,2025/4/7,89.24,5.75,1.4,5.75,5.75,5.75,,,,,,,,,,,,,,
2226970,2025/3/27,197,1,0.3,1,1,1,,,,,,,,,,,,,,
2226970,2025/3/28,197,0,0.3,0,0,0,,,,,,,,,,,,,,
2226970,2025/3/29,197,0,0.3,0,0,0,,,,,,,,,,,,,,
2226970,2025/3/30,197,0,0.3,0,0,0,,,,,,,,,,,,,,
2226970,2025/3/31,198,1,0.3,1,1,1,,,,,,,,,,,,,,
2226970,2025/4/1,198,0,0.3,0,0,0,,,,,,,,,,,,,,
2226970,2025/4/2,198,0,0.5,0,0,0,,,,,,,,,,,,,,
2226970,2025/4/3,198,0,0.6,0,0,0,,,,,,,,,,,,,,
2226970,2025/4/4,199,1,0.7,1,1,1,,,,,,,,,,,,,,
2226970,2025/4/5,201,2,0.7,2,2,2,,,,,,,,,,,,,,
2226970,2025/4/6,202,1,0.7,1,1,1,,,,,,,,,,,,,,
2226970,2025/4/7,204,2,0.7,2,2,2,,,,,,,,,,,,,,
4139756,2025/3/27,407,1,0.3,1,1,1,,,,,,,,,,,,,,
4139756,2025/3/28,407,0,0.3,0,0,0,,,,,,,,,,,,,,
4139756,2025/3/29,407,0,0.3,0,0,0,,,,,,,,,,,,,,
4139756,2025/3/30,407,0,0.3,0,0,0,,,,,,,,,,,,,,
4139756,2025/3/31,408,1,0.3,1,1,1,,,,,,,,,,,,,,
4139756,2025/4/1,408,0,0.3,0,0,0,,,,,,,,,,,,,,
4139756,2025/4/2,408,0,0.4,0,0,0,,,,,,,,,,,,,,
4139756,2025/4/3,408,0,0.6,0,0,0,,,,,,,,,,,,,,
4139756,2025/4/4,409,1,0.7,1,1,1,,,,,,,,,,,,,,
4139756,2025/4/5,410,1,0.7,1,1,1,,,,,,,,,,,,,,
4139756,2025/4/6,413,3,0.7,3,3,3,,,,,,,,,,,,,,
4139756,2025/4/7,414,1,0.7,1,1,1,,,,,,,,,,,,,,
2284662,2025/3/27,149,0,0.3,0,0,0,,,,,,,,,,,,,,
2284662,2025/3/28,149,0,0.3,0,0,0,,,,,,,,,,,,,,
2284662,2025/3/29,149,0,0.3,0,0,0,,,,,,,,,,,,,,
2284662,2025/3/30,149,0,0.3,0,0,0,,,,,,,,,,,,,,
2284662,2025/3/31,149,0,0.3,0,0,0,,,,,,,,,,,,,,
2284662,2025/4/1,149,0,0.3,0,0,0,,,,,,,,,,,,,,
2284662,2025/4/2,150,1,0.3,1,1,1,,,,,,,,,,,,,,
2284662,2025/4/3,150,0,0.7,0,0,0,,,,,,,,,,,,,,
2284662,2025/4/4,150,0,0.9,0,0,0,,,,,,,,,,,,,,
2284662,2025/4/5,150,0,0.9,0,0,0,,,,,,,,,,,,,,
2284662,2025/4/6,156,6,0.9,6,6,6,,,,,,,,,,,,,,
2284662,2025/4/7,158,2,0.9,2,2,2,,,,,,,,,,,,,,
4148081,2025/3/27,3.24,0.29,0.2,0.29,0.29,0.29,,,,,,,,,,,,,,
4148081,2025/3/28,3.37,0.13,0.2,0.13,0.13,0.13,,,,,,,,,,,,,,
4148081,2025/3/29,3.52,0.15,0.2,0.15,0.15,0.15,,,,,,,,,,,,,,
4148081,2025/3/30,3.65,0.13,0.3,0.13,0.13,0.13,,,,,,,,,,,,,,
4148081,2025/3/31,3.78,0.13,0.3,0.13,0.13,0.13,,,,,,,,,,,,,,
4148081,2025/4/1,3.99,0.21,0.4,0.21,0.21,0.21,,,,,,,,,,,,,,
4148081,2025/4/2,4.68,0.69,0.4,0.69,0.69,0.69,,,,,,,,,,,,,,
4148081,2025/4/3,5.49,0.81,0.5,0.81,0.81,0.81,,,,,,,,,,,,,,
4148081,2025/4/4,6.32,0.83,0.5,0.83,0.83,0.83,,,,,,,,,,,,,,
4148081,2025/4/5,7.35,1.03,0.5,1.03,1.03,1.03,,,,,,,,,,,,,,
4148081,2025/4/6,8.44,1.09,0.5,1.09,1.09,1.09,,,,,,,,,,,,,,
4148081,2025/4/7,9.51,1.07,0.5,1.07,1.07,1.07,,,,,,,,,,,,,,
4167112,2025/3/27,184,0,0.2,0,0,0,,,,,,,,,,,,,,
4167112,2025/3/28,184,0,0.2,0,0,0,,,,,,,,,,,,,,
4167112,2025/3/29,184,0,0.2,0,0,0,,,,,,,,,,,,,,
4167112,2025/3/30,184,0,0.2,0,0,0,,,,,,,,,,,,,,
4167112,2025/3/31,184,0,0.2,0,0,0,,,,,,,,,,,,,,
4167112,2025/4/1,184,0,0.3,0,0,0,,,,,,,,,,,,,,
4167112,2025/4/2,184,0,0.3,0,0,0,,,,,,,,,,,,,,
4167112,2025/4/3,184,0,0.6,0,0,0,,,,,,,,,,,,,,
4167112,2025/4/4,185,1,0.8,1,1,1,,,,,,,,,,,,,,
4167112,2025/4/5,185,0,0.8,0,0,0,,,,,,,,,,,,,,
4167112,2025/4/6,189,4,0.8,4,4,4,,,,,,,,,,,,,,
4167112,2025/4/7,192,3,0.8,3,3,3,,,,,,,,,,,,,,
